"State","Year","Propulsion","Fraction"
"Northwest Territories",2045,"PHEV",0.109652641338131
"Northwest Territories",2046,"BEV",0.893786633729952
"Northwest Territories",2046,"PHEV",0.106155041939955
"Northwest Territories",2047,"BEV",0.896207598166467
"Northwest Territories",2047,"PHEV",0.103732269235259
"Northwest Territories",2048,"BEV",0.898504309267709
"Northwest Territories",2048,"PHEV",0.101434969409688
"Northwest Territories",2049,"BEV",0.900652770400135
"Northwest Territories",2049,"PHEV",0.0992859384143084
"Northwest Territories",2050,"BEV",0.902740373978654
"Northwest Territories",2050,"PHEV",0.0971978302829634
"Nova Scotia",2021,"BEV",0.0890310370579968
"Nova Scotia",2021,"PHEV",0.0309544904235531
"Nova Scotia",2022,"BEV",0.116307993075832
"Nova Scotia",2022,"PHEV",0.028682619296118
"Nova Scotia",2023,"BEV",0.134473805653468
"Nova Scotia",2023,"PHEV",0.0355167208284428
"Nova Scotia",2024,"BEV",0.165982876468299
"Nova Scotia",2024,"PHEV",0.0290096963916706
"Nova Scotia",2025,"BEV",0.18744120874145
"Nova Scotia",2025,"PHEV",0.0325517556486254
"Nova Scotia",2026,"BEV",0.297563569996471
"Nova Scotia",2026,"PHEV",0.0524266922364013
"Nova Scotia",2027,"BEV",0.357239298408975
"Nova Scotia",2027,"PHEV",0.0727497784025284
"Nova Scotia",2028,"BEV",0.435924556708746
"Nova Scotia",2028,"PHEV",0.0740633393061713
"Nova Scotia",2029,"BEV",0.498864183508438
"Nova Scotia",2029,"PHEV",0.091122818094756
"Nova Scotia",2030,"BEV",0.57750419845118
"Nova Scotia",2030,"PHEV",0.102480376518155
"Nova Scotia",2031,"BEV",0.637320065824968
"Nova Scotia",2031,"PHEV",0.122661691205412
"Nova Scotia",2032,"BEV",0.680976264622944
"Nova Scotia",2032,"PHEV",0.139005139197108
"Nova Scotia",2033,"BEV",0.729988176751075
"Nova Scotia",2033,"PHEV",0.149990255564073
"Nova Scotia",2034,"BEV",0.785960286329472
"Nova Scotia",2034,"PHEV",0.154013535074328
"Nova Scotia",2035,"BEV",0.843431627819833
"Nova Scotia",2035,"PHEV",0.156536290338104
"Nova Scotia",2036,"BEV",0.850152048536328
"Nova Scotia",2036,"PHEV",0.14981219036315
"Nova Scotia",2037,"BEV",0.856651965107472
"Nova Scotia",2037,"PHEV",0.143309929670462
"Nova Scotia",2038,"BEV",0.862703992816305
"Nova Scotia",2038,"PHEV",0.137254349160717
"Nova Scotia",2039,"BEV",0.868126808431982
"Nova Scotia",2039,"PHEV",0.13182928109353
"Nova Scotia",2040,"BEV",0.872944090217096
"Nova Scotia",2040,"PHEV",0.127008568730487
"Nova Scotia",2041,"BEV",0.877175766246993
"Nova Scotia",2041,"PHEV",0.122774755235961
"Nova Scotia",2042,"BEV",0.880966666966809
"Nova Scotia",2042,"PHEV",0.118981763054776
"Nova Scotia",2043,"BEV",0.884343374617646
"Nova Scotia",2043,"PHEV",0.1156029830039
"Nova Scotia",2044,"BEV",0.887445826322306
"Nova Scotia",2044,"PHEV",0.112498502319438
"Nova Scotia",2045,"BEV",0.89028971374495
"Nova Scotia",2045,"PHEV",0.109652641338131
"Nova Scotia",2046,"BEV",0.893786633729952
"Nova Scotia",2046,"PHEV",0.106155041939955
"Nova Scotia",2047,"BEV",0.896207598166467
"Nova Scotia",2047,"PHEV",0.103732269235259
"Nova Scotia",2048,"BEV",0.898504309267709
"Nova Scotia",2048,"PHEV",0.101434969409688
"Nova Scotia",2049,"BEV",0.900652770400135
"Nova Scotia",2049,"PHEV",0.0992859384143084
"Nova Scotia",2050,"BEV",0.902740373978654
"Nova Scotia",2050,"PHEV",0.0971978302829634
"Nunavut",2021,"BEV",0.0890310370579968
"Nunavut",2021,"PHEV",0.0309544904235531
"Nunavut",2022,"BEV",0.116307993075832
"Nunavut",2022,"PHEV",0.028682619296118
"Nunavut",2023,"BEV",0.134473805653468
"Nunavut",2023,"PHEV",0.0355167208284428
"Nunavut",2024,"BEV",0.165982876468299
"Nunavut",2024,"PHEV",0.0290096963916706
"Nunavut",2025,"BEV",0.18744120874145
"Nunavut",2025,"PHEV",0.0325517556486254
"Nunavut",2026,"BEV",0.297563569996471
"Nunavut",2026,"PHEV",0.0524266922364013
"Nunavut",2027,"BEV",0.357239298408975
"Nunavut",2027,"PHEV",0.0727497784025284
"Nunavut",2028,"BEV",0.435924556708746
"Nunavut",2028,"PHEV",0.0740633393061713
"Nunavut",2029,"BEV",0.498864183508438
"Nunavut",2029,"PHEV",0.091122818094756
"Nunavut",2030,"BEV",0.57750419845118
"Nunavut",2030,"PHEV",0.102480376518155
"Nunavut",2031,"BEV",0.637320065824968
"Nunavut",2031,"PHEV",0.122661691205412
"Nunavut",2032,"BEV",0.680976264622944
"Nunavut",2032,"PHEV",0.139005139197108
"Nunavut",2033,"BEV",0.729988176751075
"Nunavut",2033,"PHEV",0.149990255564073
"Nunavut",2034,"BEV",0.785960286329472
"Nunavut",2034,"PHEV",0.154013535074328
"Nunavut",2035,"BEV",0.843431627819833
"Nunavut",2035,"PHEV",0.156536290338104
"Nunavut",2036,"BEV",0.850152048536328
"Nunavut",2036,"PHEV",0.14981219036315
"Nunavut",2037,"BEV",0.856651965107472
"Nunavut",2037,"PHEV",0.143309929670462
"Nunavut",2038,"BEV",0.862703992816305
"Nunavut",2038,"PHEV",0.137254349160717
"Nunavut",2039,"BEV",0.868126808431982
"Nunavut",2039,"PHEV",0.13182928109353
"Nunavut",2040,"BEV",0.872944090217096
"Nunavut",2040,"PHEV",0.127008568730487
"Nunavut",2041,"BEV",0.877175766246993
"Nunavut",2041,"PHEV",0.122774755235961
"Nunavut",2042,"BEV",0.880966666966809
"Nunavut",2042,"PHEV",0.118981763054776
"Nunavut",2043,"BEV",0.884343374617646
"Nunavut",2043,"PHEV",0.1156029830039
"Nunavut",2044,"BEV",0.887445826322306
"Nunavut",2044,"PHEV",0.112498502319438
"Nunavut",2045,"BEV",0.89028971374495
"Nunavut",2045,"PHEV",0.109652641338131
"Nunavut",2046,"BEV",0.893786633729952
"Nunavut",2046,"PHEV",0.106155041939955
"Nunavut",2047,"BEV",0.896207598166467
"Nunavut",2047,"PHEV",0.103732269235259
"Nunavut",2048,"BEV",0.898504309267709
"Nunavut",2048,"PHEV",0.101434969409688
"Nunavut",2049,"BEV",0.900652770400135
"Nunavut",2049,"PHEV",0.0992859384143084
"Nunavut",2050,"BEV",0.902740373978654
"Nunavut",2050,"PHEV",0.0971978302829634
"Ontario",2021,"BEV",0.0890310370579968
"Ontario",2021,"PHEV",0.0309544904235531
"Ontario",2022,"BEV",0.116307993075832
"Ontario",2022,"PHEV",0.028682619296118
"Ontario",2023,"BEV",0.134473805653468
"Ontario",2023,"PHEV",0.0355167208284428
"Ontario",2024,"BEV",0.165982876468299
"Ontario",2024,"PHEV",0.0290096963916706
"Ontario",2025,"BEV",0.18744120874145
"Ontario",2025,"PHEV",0.0325517556486254
"Ontario",2026,"BEV",0.297563569996471
"Ontario",2026,"PHEV",0.0524266922364013
"Ontario",2027,"BEV",0.357239298408975
"Ontario",2027,"PHEV",0.0727497784025284
"Ontario",2028,"BEV",0.435924556708746
"Ontario",2028,"PHEV",0.0740633393061713
"Ontario",2029,"BEV",0.498864183508438
"Ontario",2029,"PHEV",0.091122818094756
"Ontario",2030,"BEV",0.57750419845118
"Ontario",2030,"PHEV",0.102480376518155
"Ontario",2031,"BEV",0.637320065824968
