Year,Scenario,Mineral,Minerals Lost From Non-Recovery,Cum_Tonne
2050,Increasing Batt Cap - Benchmark Chemistry,Lithium,0,14965.029448887015
2050,Increasing Batt Cap - High LFP Chemistry,Lithium,0,14946.679129600509
2025,Decreasing Batt Cap - Benchmark Chemistry,Manganese,51.6249529321823,51.6249529321823
2025,Decreasing Batt Cap - High LFP Chemistry,Manganese,51.6249529321823,51.6249529321823
2025,Increasing Batt Cap - Benchmark Chemistry,Manganese,51.65422904889378,51.65422904889378
2025,Increasing Batt Cap - High LFP Chemistry,Manganese,51.65422904889378,51.65422904889378
2026,Decreasing Batt Cap - Benchmark Chemistry,Manganese,84.23238042628083,135.85733335846314
2026,Decreasing Batt Cap - High LFP Chemistry,Manganese,84.2367563291434,135.8617092613257
2026,Increasing Batt Cap - Benchmark Chemistry,Manganese,84.6163560281177,136.2705850770115
2026,Increasing Batt Cap - High LFP Chemistry,Manganese,84.62099972477749,136.27522877367127
2027,Decreasing Batt Cap - Benchmark Chemistry,Manganese,158.98394204706693,294.84127540553004
2027,Decreasing Batt Cap - High LFP Chemistry,Manganese,158.76758787973623,294.6292971410619
2027,Increasing Batt Cap - Benchmark Chemistry,Manganese,160.60398413574313,296.87456921275464
2027,Increasing Batt Cap - High LFP Chemistry,Manganese,160.36076441155845,296.6359931852297
