"State","Segment","Year","ret_ICE","ret_BEV","ret_PHEV","ret_EV","Growth_seg","add_BEV","add_PHEV","add_ICE","Demand_total","exp_ICE","exp_BEV","exp_PHEV"
"Nevada","SUV",2050,44410.3002886971,35006,6384,41390,13120.8523857755,64271.6452900523,7019.99770410249,27629.5096803178,98921.1526744727,3494.32756819214,2754.37072158835,502.311109141863
"New Hampshire","Car",2020,24636.1536396742,0,0,0,0,376.041080917512,163.064266346967,20527,21066.1053472645,1622.68261330281,0,0
"New Hampshire","Car",2021,24887.349536537,0,1,1,0,573.39177751175,226.874095303181,21016,21816.2658728149,1902.69950387758,0,0.0764524764312183
"New Hampshire","Car",2022,25198.8288434303,1,2,3,0,868.398314876364,149.994558816039,19837,20855.3928736924,1941.28104728623,0.077038542519104,0.154077085038208
"New Hampshire","Car",2023,25535.1877126875,3,6,9,0,936.934573647703,113.426082094618,21154,22204.3606557423,2137.89039739547,0.251169925373202,0.502339850746404
"New Hampshire","Car",2024,25884.8442151654,5,6,11,0,786.335871725749,137.563274505485,20771,21694.8991462312,2341.37238179989,0.452267041350035,0.542720449620043
"New Hampshire","Car",2025,26220.0554912306,11,12,23,1565.87363666302,2231.91331101896,468.85081880162,25108.1649980731,27808.9291278937,2063.0678501819,0.865510996328398,0.944193814176434
"New Hampshire","Car",2026,26543.6098452829,22,26,48,1565.87363666302,3009.25829361716,630.434426123549,24517.7907622052,28157.4834819459,2088.52601848573,1.7310219926568,2.04575326404894
"New Hampshire","Car",2027,26814.2723051163,37,46,83,1565.8736366631,4042.91623688481,933.690903693922,23486.5388012006,28463.1459417794,2109.8225035111,2.91126426037734,3.61940962100966
"New Hampshire","Car",2028,27007.4663460648,56,73,129,1565.87363666302,5135.5157783418,995.943846451455,22570.8803579346,28702.3399827279,2125.02355504439,4.40623779949002,5.74384570290664
"New Hampshire","Car",2029,27102.1768512178,82,110,192,1565.8736366631,6198.04655003937,1301.39381718327,21360.6101206583,28860.0504878809,2132.47564446963,6.45199106353896,8.65510996328398
"New Hampshire","Car",2030,27079.9436196815,138,156,294,1565.87363666302,7295.90687785129,1472.06191734705,20171.8484611462,28939.8172563446,2130.72627116249,10.858228863029,12.2745195842936
"New Hampshire","Car",2031,26931.5710368686,204,188,392,285.49785406839,8099.6215874251,1751.24000602137,17758.2072974906,27609.068890937,2119.05189825538,16.0512948409994,14.7923697554308
"New Hampshire","Car",2032,26652.2427656336,273,212,485,285.49785406839,9104.1509351743,2063.03087699674,16255.5588075309,27422.740619702,2097.07356276999,21.4804092725139,16.6807573837837
"New Hampshire","Car",2033,26257.8982553527,363,229,592,285.497854068468,10659.9920222723,2266.33942634489,14209.0646608039,27135.3961094211,2066.04542549818,28.5618628788371,18.0183652872003
"New Hampshire","Car",2034,25767.961681448,484,234,718,285.49785406839,11407.8951982617,2309.12577277538,13054.4385644793,26771.4595355164,2027.49583529655,38.0824838384495,18.4117793764405
"New Hampshire","Car",2035,25214.4182681975,623,231,854,285.49785406839,11996.5966881248,2296.39509333499,12060.9243408061,26353.9161222659,1983.94147974078,49.0193955193265,18.1757309228963
"New Hampshire","Car",2036,24627.2121606551,776,231,1007,285.49785406839,12453.5755301932,2258.01646381784,11208.1180207125,25919.7100147235,1937.73844854177,61.057866650076,18.1757309228963
"New Hampshire","Car",2037,24031.6437484824,1040,260,1300,285.49785406839,12862.6071128555,2211.55886121584,10542.9756284794,25617.1416025508,1890.87744765073,81.8301305619576,20.4575326404894
"New Hampshire","Car",2038,23444.601992847,1399,314,1713,285.497854068468,13250.5840750298,2163.6575474926,10028.8582243931,25443.0998469155,1844.68734812289,110.077262169403,24.7064048042833
"New Hampshire","Car",2039,22872.4069754423,1890,411,2301,285.49785406839,13673.6249970756,2126.5582676366,9658.72156479846,25458.9048295107,1799.66543179488,148.710525732788,32.3386381355429
"New Hampshire","Car",2040,22311.6055333754,2516,529,3045,285.49785406839,14119.3616229838,2099.86680237982,9422.87496208014,25642.1033874438,1755.53999407981,197.965969705659,41.6232106416111
"New Hampshire","Car",2041,21754.9393500937,3268,687,3955,-273.228034634403,14308.7438978909,2043.56338386318,9084.40403370514,25436.7113154593,1711.73993017849,257.135448727382,54.0550958616008
"New Hampshire","Car",2042,21183.193848062,4120,855,4975,-273.22803463448,14847.482800665,2041.27696445055,8996.20604831192,25884.9658134275,1666.7533829867,324.173209533909,67.2738092600709
"New Hampshire","Car",2043,20583.1098925896,5030,1046,6076,-273.228034634403,15387.2314280617,2043.73050468038,8954.91992521311,26385.8818579552,1619.53708642474,395.774573775622,82.3022274690458
"New Hampshire","Car",2044,19944.0340124157,5975,1250,7225,-273.22803463448,15919.2899478211,2048.2682133271,8928.24781663311,26895.8059777813,1569.25279535395,470.129836642016,98.3535223100452
