"Year","State_Province","Tonnes_Scrap_proj_down","Tonnes_Scrap_15_down","Tonnes_Prod_proj_down","Tonnes_Prod_15_down","Tonnes_Scrap_proj_mid","Tonnes_Scrap_15_mid","Tonnes_Prod_proj_mid","Tonnes_Prod_15_mid"
2035,"KY",17314.9213277232,14123.1493165049,402706.163182902,275817.792163819,8423.33569922892,7337.72071014863,147246.379669002,100850.632688166
2036,"KY",17655.545954928,14588.9260037806,423498.112383315,289111.457280459,8539.19209487487,7496.14498089648,154848.7943473,105711.358050515
2037,"KY",17957.3647823406,15001.3536326952,443801.376158333,301999.863218194,8641.849503322,7636.42367695835,162272.524996732,110423.903542833
2038,"KY",18232.4085997868,15378.9876599827,464076.304684821,314851.641797578,8735.39994797281,7764.86805173487,169685.895082695,115123.056526152
2039,"KY",18493.4045585196,15738.3578662725,485106.316288455,328140.487411682,8824.17230511292,7887.1003669522,177375.355429062,119982.019674844
2040,"KY",18751.168071665,16110.7798493388,507834.239657778,343149.708950186,8911.84521299141,8013.77197308782,185685.644020317,125470.02491352
2041,"KY",18855.4678900186,16253.7179887446,517647.632140974,349281.491401976,8947.32063096145,8062.3894138401,189273.834734859,127712.063525017
2042,"KY",19002.6599266075,16444.3107696176,532160.065312256,357806.798126724,8997.38494653052,8127.21559158681,194580.193166948,130829.275689999
2043,"KY",19143.7422461641,16629.008488275,546854.958456723,366475.099377246,9045.37116868752,8190.03668630117,199953.266670575,133998.772692308
2044,"KY",19275.2878366512,16801.0515342273,561306.969667731,374936.030851367,9090.11367043211,8248.55355680332,205237.532282349,137092.446547074
2045,"KY",19389.6273516755,16949.5976354182,574503.78317463,382562.08288776,9129.00388280262,8299.07842933666,210062.844606102,139880.853222181
2046,"KY",19491.0273339345,17081.6278522444,586737.37342363,389605.439494682,9163.49298172508,8343.98576666976,214535.961829543,142456.201840862
2047,"KY",19579.0264304687,17198.5044995785,597784.414257649,396060.399925619,9193.42404756791,8383.7389319251,218575.226478508,144816.407969444
2048,"KY",19660.6282494403,17314.34334315,608406.696051223,402672.61754715,9221.17921225398,8423.13910977517,222459.181284577,147234.113967928
2049,"KY",19725.8119269036,17407.4384463828,617166.913466041,408148.786659429,9243.35008694327,8454.80347650447,225662.286718202,149236.432655741
2050,"KY",19783.2966619604,17497.3509633478,625104.476446935,413581.023221445,9262.90232620147,8485.38535258462,228564.594949825,151222.687747891
2025,"MA",2340.8293486019,2340.8293486019,44475.757623436,44475.757623436,0,0,0,0
