"Year","Scenario","Mineral","Recycling Scenario","Recycle_v_Demand"
2039,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.118043466077176
2040,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0310511185814118
2040,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.144122910644523
2041,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0300688083489558
2041,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.177327149717164
2042,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0291005117123056
2042,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.212410201545393
2043,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0281101949722221
2043,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.249924296846228
2044,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0271889531860874
2044,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.28971461838335
2045,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0263846643182368
2045,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.331651179517085
2046,"Increasing Batt Cap - Benchmark Chemistry","Copper","Recycling Limited to NA 2025 Online or Planned",0.0256809511129841
2046,"Increasing Batt Cap - Benchmark Chemistry","Copper","All Material is Recycled in NA",0.375222738733977
