State,Sale Year,Propulsion,Global Segment,Sales
District of Columbia,2016,BEV,SUV,61.620406707099534
District of Columbia,2016,PHEV,Car,104.47244094488188
District of Columbia,2016,PHEV,SUV,39.181102362204726
Florida,2016,BEV,Car,2295.707456296825
Florida,2016,BEV,SUV,1191.3278630039244
Florida,2016,PHEV,Car,2110.3433070866145
Florida,2016,PHEV,SUV,791.4582677165355
Georgia,2016,BEV,Car,3562.3046735640382
Georgia,2016,BEV,SUV,1848.6122012129858
Georgia,2016,PHEV,Car,835.779527559055
Georgia,2016,PHEV,SUV,313.4488188976378
Hawaii,2016,BEV,Car,831.2044238316089
Hawaii,2016,BEV,SUV,431.3428469496967
Hawaii,2016,PHEV,Car,250.73385826771653
Hawaii,2016,PHEV,SUV,94.03464566929134
Idaho,2016,BEV,Car,79.16232607920085
Idaho,2016,BEV,SUV,41.08027113806636
Idaho,2016,PHEV,Car,125.36692913385826
Idaho,2016,PHEV,SUV,47.01732283464567
Illinois,2016,BEV,Car,1147.8537281484125
Illinois,2016,BEV,SUV,595.6639315019622
Illinois,2016,PHEV,Car,1253.6692913385828
Illinois,2016,PHEV,SUV,470.1732283464567
Indiana,2016,BEV,Car,257.27755975740274
Indiana,2016,BEV,SUV,133.51088119871565
Indiana,2016,PHEV,Car,501.46771653543306
Indiana,2016,PHEV,SUV,188.06929133858267
Iowa,2016,BEV,Car,79.16232607920085
Iowa,2016,BEV,SUV,41.08027113806636
Iowa,2016,PHEV,Car,250.73385826771653
Iowa,2016,PHEV,SUV,94.03464566929134
Kansas,2016,BEV,Car,118.74348911880128
Kansas,2016,BEV,SUV,61.620406707099534
Kansas,2016,PHEV,Car,208.94488188976376
Kansas,2016,PHEV,SUV,78.36220472440945
Kentucky,2016,BEV,Car,98.95290759900107
Kentucky,2016,BEV,SUV,51.35033892258294
Kentucky,2016,PHEV,Car,188.0503937007874
Kentucky,2016,PHEV,SUV,70.52598425196851
Louisiana,2016,BEV,Car,79.16232607920085
Louisiana,2016,BEV,SUV,41.08027113806636
Louisiana,2016,PHEV,Car,104.47244094488188
Louisiana,2016,PHEV,SUV,39.181102362204726
Maine,2016,BEV,Car,59.37174455940064
Maine,2016,BEV,SUV,30.810203353549767
Maine,2016,PHEV,Car,208.94488188976376
Maine,2016,PHEV,SUV,78.36220472440945
Maryland,2016,BEV,Car,633.2986086336068
Maryland,2016,BEV,SUV,328.64216910453086
Maryland,2016,PHEV,Car,1044.724409448819
Maryland,2016,PHEV,SUV,391.81102362204723
Massachusetts,2016,BEV,Car,712.4609347128078
Massachusetts,2016,BEV,SUV,369.72244024259726
Massachusetts,2016,PHEV,Car,1086.5133858267716
Massachusetts,2016,PHEV,SUV,407.4834645669291
Michigan,2016,BEV,Car,316.6493043168034
Michigan,2016,BEV,SUV,164.32108455226543
Michigan,2016,PHEV,Car,2423.76062992126
Michigan,2016,PHEV,SUV,909.0015748031495
Minnesota,2016,BEV,Car,316.6493043168034
Minnesota,2016,BEV,SUV,164.32108455226543
Minnesota,2016,PHEV,Car,501.46771653543306
Minnesota,2016,PHEV,SUV,188.06929133858267
Mississippi,2016,BEV,Car,19.790581519800213
Mississippi,2016,BEV,SUV,10.27006778451659
Mississippi,2016,PHEV,Car,41.78897637795276
Mississippi,2016,PHEV,SUV,15.67244094488189
Missouri,2016,BEV,Car,277.06814127720304
Missouri,2016,BEV,SUV,143.78094898323226
Missouri,2016,PHEV,Car,438.78425196850395
Missouri,2016,PHEV,SUV,164.56062992125985
Montana,2016,BEV,Car,39.581163039600426
Montana,2016,BEV,SUV,20.54013556903318
Montana,2016,PHEV,Car,41.78897637795276
Montana,2016,PHEV,SUV,15.67244094488189
Nebraska,2016,BEV,Car,59.37174455940064
Nebraska,2016,BEV,SUV,30.810203353549767
Nebraska,2016,PHEV,Car,125.36692913385826
Nebraska,2016,PHEV,SUV,47.01732283464567
Nevada,2016,BEV,Car,395.81163039600426
Nevada,2016,BEV,SUV,205.40135569033177
Nevada,2016,PHEV,Car,292.52283464566926
Nevada,2016,PHEV,SUV,109.70708661417322
New Hampshire,2016,BEV,Car,79.16232607920085
New Hampshire,2016,BEV,SUV,41.08027113806636
New Hampshire,2016,PHEV,Car,208.94488188976376
New Hampshire,2016,PHEV,SUV,78.36220472440945
New Jersey,2016,BEV,Car,831.2044238316089
New Jersey,2016,BEV,SUV,431.3428469496967
New Jersey,2016,PHEV,Car,1149.1968503937007
New Jersey,2016,PHEV,SUV,430.99212598425197
New Mexico,2016,BEV,Car,98.95290759900107
New Mexico,2016,BEV,SUV,51.35033892258294
New Mexico,2016,PHEV,Car,125.36692913385826
New Mexico,2016,PHEV,SUV,47.01732283464567
New York,2016,BEV,Car,1207.225472707813
New York,2016,BEV,SUV,626.4741348555119
New York,2016,PHEV,Car,2528.233070866142
New York,2016,PHEV,SUV,948.1826771653543
